track_name,artist_name,released_year,streams,danceability_percentage
Cupido,Tini,2023,217672943,91
So Good,Halsey,2022,91781263,63
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",2022,174006928,87
In My Head,Lil Tjay,2022,190981339,68
Medallo,"Justin Quiles, Lenny Tavárez, BL",2021,393230256,79
Leão,Marília Mendonça,2022,267789608,74
Ojos Marrones,Lasso,2022,263280370,81
Mr. Morale,"Kendrick Lamar, Tanna Leone",2022,58687425,73
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,123122413,81
Yandel 150,"Yandel, Feid",2022,585695368,78
I WANNA BE YOUR SLAVE,Måneskin,2021,851070493,75
SPIT IN MY FACE!,ThxSoMch,2022,303216294,73
You Belong With Me (Taylor's version),Taylor Swift,2021,350381515,63
New Jeans,NewJeans,2023,29562220,81
Dançarina,"Mc Pedrinho, Pedro Sampaio",2022,208166039,78
Alien Blues,Vundabar,2015,370068639,47
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",2022,286400165,68
Worldwide Steppers,Kendrick Lamar,2022,61739839,56
Little Freak,Harry Styles,2022,273194684,56
Still With You,Jung Kook,2020,38411956,53
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2023,39666245,59
Shirt,SZA,2022,309653982,82
It'll Be Okay,Shawn Mendes,2021,287201015,40
Fast Car,Luke Combs,2023,157058870,71
Seek & Destroy,SZA,2022,98709329,65
A Tu Merced,Bad Bunny,2020,685071800,86
Danger (Spider) (Offset & JID),"Offset, JID",2023,24975653,83
295,Sidhu Moose Wala,2021,183273246,68
TQG,"Karol G, Shakira",2023,618990393,72
Light Switch,Charlie Puth,2022,500340342,69
Sem Aliança no Dedo,"MC Xenon, Os Gemeos da Putaria",2022,93587665,53
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",2023,32761689,92
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2018,2808096550,76
That's Hilarious,Charlie Puth,2022,146363130,71
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,30546883,44
Get Into It (Yuh),Doja Cat,2021,516784627,91
SORRY NOT SORRY,"Tyler, The Creator",2023,58473276,48
Something Just Like This,"The Chainsmokers, Coldplay",2017,2204080728,61
